  ,  , Corrida: ,23 seg ,  ,  , Peltier: ,21.26, ºC     , teInsta: ,31.83, ºC     , Disip: ,20.87, ºC     ,  , Aire: ,15.22,16:40:16,22/8/2022,TomaNro= 1,   Modo ,0,   tension puente H ,0.0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.67111,  ,  , Corrida: ,32 seg ,  ,  , Peltier: ,21.26, ºC     , teInsta: ,31.83, ºC     , Disip: ,20.85, ºC     ,  , Aire: ,15.22,16:40:25,22/8/2022,TomaNro= 2,   Modo ,0,   tension puente H ,8.55,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.70028,  ,  , Corrida: ,137 seg ,  ,  , Peltier: ,21.29, ºC     , teInsta: ,31.84, ºC     , Disip: ,20.85, ºC     ,  , Aire: ,15.22,16:42:10,22/8/2022,TomaNro= 13,   Modo ,0,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.702778,  ,  , Corrida: ,146 seg ,  ,  , Peltier: ,21.27, ºC     , teInsta: ,31.84, ºC     , Disip: ,21.03, ºC     ,  , Aire: ,15.22,16:42:19,22/8/2022,TomaNro= 14,   Modo ,0,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.705278,  ,  , Corrida: ,156 seg ,  ,  , Peltier: ,21.3, ºC     , teInsta: ,31.85, ºC     , Disip: ,21.94, ºC     ,  , Aire: ,15.22,16:42:29,22/8/2022,TomaNro= 15,   Modo ,3,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.708055,  ,  , Corrida: ,168 seg ,  ,  , Peltier: ,21.31, ºC     , teInsta: ,31.85, ºC     , Disip: ,23.46, ºC     ,  , Aire: ,15.22,16:42:41,22/8/2022,TomaNro= 16,   Modo ,3,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.71139,  ,  , Corrida: ,177 seg ,  ,  , Peltier: ,21.32, ºC     , teInsta: ,31.85, ºC     , Disip: ,26.25, ºC     ,  , Aire: ,15.22,16:42:50,22/8/2022,TomaNro= 17,   Modo ,3,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.71389,  ,  , Corrida: ,186 seg ,  ,  , Peltier: ,21.37, ºC     , teInsta: ,31.85, ºC     , Disip: ,29.25, ºC     ,  , Aire: ,15.22,16:42:59,22/8/2022,TomaNro= 18,   Modo ,3,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.716389,  ,  , Corrida: ,195 seg ,  ,  , Peltier: ,21.44, ºC     , teInsta: ,31.85, ºC     , Disip: ,31.99, ºC     ,  , Aire: ,15.22,16:43:8,22/8/2022,TomaNro= 19,   Modo ,3,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.71889,  ,  , Corrida: ,204 seg ,  ,  , Peltier: ,21.54, ºC     , teInsta: ,31.85, ºC     , Disip: ,34.44, ºC     ,  , Aire: ,15.22,16:43:17,22/8/2022,TomaNro= 20,   Modo ,3,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.72139,  ,  , Corrida: ,214 seg ,  ,  , Peltier: ,21.68, ºC     , teInsta: ,31.85, ºC     , Disip: ,36.67, ºC     ,  , Aire: ,15.22,16:43:27,22/8/2022,TomaNro= 21,   Modo ,3,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.724167,  ,  , Corrida: ,223 seg ,  ,  , Peltier: ,21.88, ºC     , teInsta: ,31.85, ºC     , Disip: ,38.7, ºC     ,  , Aire: ,15.22,16:43:36,22/8/2022,TomaNro= 22,   Modo ,3,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.726667,  ,  , Corrida: ,232 seg ,  ,  , Peltier: ,22.13, ºC     , teInsta: ,31.85, ºC     , Disip: ,40.54, ºC     ,  , Aire: ,15.22,16:43:45,22/8/2022,TomaNro= 23,   Modo ,3,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.729168,  ,  , Corrida: ,241 seg ,  ,  , Peltier: ,22.42, ºC     , teInsta: ,31.86, ºC     , Disip: ,42.21, ºC     ,  , Aire: ,15.22,16:43:54,22/8/2022,TomaNro= 24,   Modo ,3,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.731667,  ,  , Corrida: ,250 seg ,  ,  , Peltier: ,22.76, ºC     , teInsta: ,31.86, ºC     , Disip: ,43.74, ºC     ,  , Aire: ,15.22,16:44:3,22/8/2022,TomaNro= 25,   Modo ,3,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.734167,  ,  , Corrida: ,259 seg ,  ,  , Peltier: ,23.12, ºC     , teInsta: ,31.86, ºC     , Disip: ,45.14, ºC     ,  , Aire: ,15.22,16:44:12,22/8/2022,TomaNro= 26,   Modo ,3,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.736668,  ,  , Corrida: ,269 seg ,  ,  , Peltier: ,23.51, ºC     , teInsta: ,31.86, ºC     , Disip: ,46.42, ºC     ,  , Aire: ,15.22,16:44:22,22/8/2022,TomaNro= 27,   Modo ,3,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.739445,  ,  , Corrida: ,278 seg ,  ,  , Peltier: ,23.93, ºC     , teInsta: ,31.86, ºC     , Disip: ,47.6, ºC     ,  , Aire: ,15.22,16:44:31,22/8/2022,TomaNro= 28,   Modo ,3,   tension puente H ,8.78,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.741945,  ,  , Corrida: ,287 seg ,  ,  , Peltier: ,24.39, ºC     , teInsta: ,31.86, ºC     , Disip: ,48.7, ºC     ,  , Aire: ,15.22,16:44:40,22/8/2022,TomaNro= 29,   Modo ,3,   tension puente H ,8.78,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.744444,  ,  , Corrida: ,296 seg ,  ,  , Peltier: ,24.87, ºC     , teInsta: ,31.86, ºC     , Disip: ,49.73, ºC     ,  , Aire: ,15.22,16:44:49,22/8/2022,TomaNro= 30,   Modo ,3,   tension puente H ,8.78,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.746944,  ,  , Corrida: ,305 seg ,  ,  , Peltier: ,25.34, ºC     , teInsta: ,31.86, ºC     , Disip: ,50.68, ºC     ,  , Aire: ,15.22,16:44:58,22/8/2022,TomaNro= 31,   Modo ,3,   tension puente H ,8.78,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.749445,  ,  , Corrida: ,314 seg ,  ,  , Peltier: ,25.84, ºC     , teInsta: ,31.86, ºC     , Disip: ,51.61, ºC     ,  , Aire: ,15.22,16:45:8,22/8/2022,TomaNro= 32,   Modo ,3,   tension puente H ,8.78,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.751944,  ,  , Corrida: ,324 seg ,  ,  , Peltier: ,26.31, ºC     , teInsta: ,31.86, ºC     , Disip: ,52.48, ºC     ,  , Aire: ,15.22,16:45:17,22/8/2022,TomaNro= 33,   Modo ,3,   tension puente H ,8.78,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.754723,  ,  , Corrida: ,333 seg ,  ,  , Peltier: ,26.81, ºC     , teInsta: ,31.86, ºC     , Disip: ,53.3, ºC     ,  , Aire: ,15.22,16:45:26,22/8/2022,TomaNro= 34,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.757223,  ,  , Corrida: ,342 seg ,  ,  , Peltier: ,27.34, ºC     , teInsta: ,31.86, ºC     , Disip: ,54.08, ºC     ,  , Aire: ,15.22,16:45:35,22/8/2022,TomaNro= 35,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.759722,  ,  , Corrida: ,351 seg ,  ,  , Peltier: ,27.82, ºC     , teInsta: ,31.87, ºC     , Disip: ,54.83, ºC     ,  , Aire: ,15.22,16:45:44,22/8/2022,TomaNro= 36,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.762222,  ,  , Corrida: ,360 seg ,  ,  , Peltier: ,28.34, ºC     , teInsta: ,31.87, ºC     , Disip: ,55.57, ºC     ,  , Aire: ,15.22,16:45:53,22/8/2022,TomaNro= 37,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.764723,  ,  , Corrida: ,369 seg ,  ,  , Peltier: ,28.87, ºC     , teInsta: ,31.87, ºC     , Disip: ,56.24, ºC     ,  , Aire: ,15.22,16:46:3,22/8/2022,TomaNro= 38,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.767221,  ,  , Corrida: ,379 seg ,  ,  , Peltier: ,29.4, ºC     , teInsta: ,31.87, ºC     , Disip: ,56.89, ºC     ,  , Aire: ,15.22,16:46:12,22/8/2022,TomaNro= 39,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.77,  ,  , Corrida: ,388 seg ,  ,  , Peltier: ,29.88, ºC     , teInsta: ,31.87, ºC     , Disip: ,57.53, ºC     ,  , Aire: ,15.22,16:46:21,22/8/2022,TomaNro= 40,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.7725,  ,  , Corrida: ,397 seg ,  ,  , Peltier: ,30.41, ºC     , teInsta: ,31.87, ºC     , Disip: ,58.12, ºC     ,  , Aire: ,15.22,16:46:30,22/8/2022,TomaNro= 41,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=250y150,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.775,  ,  , Corrida: ,406 seg ,  ,  , Peltier: ,30.88, ºC     , teInsta: ,31.87, ºC     , Disip: ,58.6, ºC     ,  , Aire: ,15.22,16:46:39,22/8/2022,TomaNro= 42,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=167y100,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.7775,  ,  , Corrida: ,415 seg ,  ,  , Peltier: ,31.37, ºC     , teInsta: ,31.87, ºC     , Disip: ,58.45, ºC     ,  , Aire: ,15.22,16:46:48,22/8/2022,TomaNro= 43,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=113y67,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.78,  ,  , Corrida: ,425 seg ,  ,  , Peltier: ,31.86, ºC     , teInsta: ,31.87, ºC     , Disip: ,57.76, ºC     ,  , Aire: ,15.22,16:46:58,22/8/2022,TomaNro= 44,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=79y47,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.782778,  ,  , Corrida: ,434 seg ,  ,  , Peltier: ,32.35, ºC     , teInsta: ,31.87, ºC     , Disip: ,56.68, ºC     ,  , Aire: ,15.22,16:47:7,22/8/2022,TomaNro= 45,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=68y40,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.785276,  ,  , Corrida: ,443 seg ,  ,  , Peltier: ,32.76, ºC     , teInsta: ,31.87, ºC     , Disip: ,55.33, ºC     ,  , Aire: ,15.22,16:47:16,22/8/2022,TomaNro= 46,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,COOLINGconPWM=78y46,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.787777,  ,  , Corrida: ,452 seg ,  ,  , Peltier: ,33.16, ºC     , teInsta: ,31.87, ºC     , Disip: ,52.63, ºC     ,  , Aire: ,15.22,16:47:25,22/8/2022,TomaNro= 47,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,COOLINGconPWM=104y62,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.790277,  ,  , Corrida: ,461 seg ,  ,  , Peltier: ,33.52, ºC     , teInsta: ,31.87, ºC     , Disip: ,49.6, ºC     ,  , Aire: ,15.22,16:47:34,22/8/2022,TomaNro= 48,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,COOLINGconPWM=144y86,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.792778,  ,  , Corrida: ,470 seg ,  ,  , Peltier: ,33.79, ºC     , teInsta: ,31.88, ºC     , Disip: ,46.48, ºC     ,  , Aire: ,15.22,16:47:43,22/8/2022,TomaNro= 49,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,COOLINGconPWM=192y115,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.795277,  ,  , Corrida: ,480 seg ,  ,  , Peltier: ,34.03, ºC     , teInsta: ,31.88, ºC     , Disip: ,43.33, ºC     ,  , Aire: ,15.22,16:47:53,22/8/2022,TomaNro= 50,   Modo ,3,   tension puente H ,8.8,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
