  ,  , Corrida: ,23 seg ,  ,  , Peltier: ,19.64, ºC     , teInsta: ,17.73, ºC     , Disip: ,18.64, ºC     ,  , Aire: ,15.22,1:24:10,18/8/2022,TomaNro= 1,   Modo ,0,   tension puente H ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4027778,  ,  , Corrida: ,33 seg ,  ,  , Peltier: ,19.7, ºC     , teInsta: ,17.73, ºC     , Disip: ,17.26, ºC     ,  , Aire: ,15.22,1:24:20,18/8/2022,TomaNro= 2,   Modo ,0,   tension puente H ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=226y135,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4391668,  ,  , Corrida: ,167 seg ,  ,  , Peltier: ,19.39, ºC     , teInsta: ,17.71, ºC     , Disip: ,11.33, ºC     ,  , Aire: ,15.22,1:26:34,18/8/2022,TomaNro= 13,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=212y127,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4427779,  ,  , Corrida: ,179 seg ,  ,  , Peltier: ,19.33, ºC     , teInsta: ,17.7, ºC     , Disip: ,11.27, ºC     ,  , Aire: ,15.22,1:26:46,18/8/2022,TomaNro= 14,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=200y120,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4461112,  ,  , Corrida: ,189 seg ,  ,  , Peltier: ,19.26, ºC     , teInsta: ,17.7, ºC     , Disip: ,11.36, ºC     ,  , Aire: ,15.22,1:26:56,18/8/2022,TomaNro= 15,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=190y114,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4488889,  ,  , Corrida: ,198 seg ,  ,  , Peltier: ,19.2, ºC     , teInsta: ,17.7, ºC     , Disip: ,11.53, ºC     ,  , Aire: ,15.22,1:27:5,18/8/2022,TomaNro= 16,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=180y108,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.451389,  ,  , Corrida: ,208 seg ,  ,  , Peltier: ,19.09, ºC     , teInsta: ,17.7, ºC     , Disip: ,11.76, ºC     ,  , Aire: ,15.22,1:27:15,18/8/2022,TomaNro= 17,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=172y103,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4541668,  ,  , Corrida: ,217 seg ,  ,  , Peltier: ,19.04, ºC     , teInsta: ,17.7, ºC     , Disip: ,12.02, ºC     ,  , Aire: ,15.22,1:27:24,18/8/2022,TomaNro= 18,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=157y94,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4566667,  ,  , Corrida: ,227 seg ,  ,  , Peltier: ,18.97, ºC     , teInsta: ,17.7, ºC     , Disip: ,12.34, ºC     ,  , Aire: ,15.22,1:27:34,18/8/2022,TomaNro= 19,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=151y90,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4594445,  ,  , Corrida: ,236 seg ,  ,  , Peltier: ,18.94, ºC     , teInsta: ,17.69, ºC     , Disip: ,12.66, ºC     ,  , Aire: ,15.22,1:27:43,18/8/2022,TomaNro= 20,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=143y85,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4619445,  ,  , Corrida: ,245 seg ,  ,  , Peltier: ,18.89, ºC     , teInsta: ,17.69, ºC     , Disip: ,12.97, ºC     ,  , Aire: ,15.22,1:27:52,18/8/2022,TomaNro= 21,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=140y84,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4644445,  ,  , Corrida: ,255 seg ,  ,  , Peltier: ,18.84, ºC     , teInsta: ,17.69, ºC     , Disip: ,13.24, ºC     ,  , Aire: ,15.22,1:28:2,18/8/2022,TomaNro= 22,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=134y80,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4672222,  ,  , Corrida: ,264 seg ,  ,  , Peltier: ,18.83, ºC     , teInsta: ,17.69, ºC     , Disip: ,13.52, ºC     ,  , Aire: ,15.22,1:28:11,18/8/2022,TomaNro= 23,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=129y77,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4697223,  ,  , Corrida: ,274 seg ,  ,  , Peltier: ,18.76, ºC     , teInsta: ,17.69, ºC     , Disip: ,13.77, ºC     ,  , Aire: ,15.22,1:28:21,18/8/2022,TomaNro= 24,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=128y76,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4725001,  ,  , Corrida: ,286 seg ,  ,  , Peltier: ,18.74, ºC     , teInsta: ,17.68, ºC     , Disip: ,14.02, ºC     ,  , Aire: ,15.22,1:28:33,18/8/2022,TomaNro= 25,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=122y73,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4758334,  ,  , Corrida: ,299 seg ,  ,  , Peltier: ,18.7, ºC     , teInsta: ,17.68, ºC     , Disip: ,14.26, ºC     ,  , Aire: ,15.22,1:28:46,18/8/2022,TomaNro= 26,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=120y72,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4794445,  ,  , Corrida: ,311 seg ,  ,  , Peltier: ,18.69, ºC     , teInsta: ,17.68, ºC     , Disip: ,14.46, ºC     ,  , Aire: ,15.22,1:28:59,18/8/2022,TomaNro= 27,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=116y69,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4827778,  ,  , Corrida: ,321 seg ,  ,  , Peltier: ,18.68, ºC     , teInsta: ,17.68, ºC     , Disip: ,14.6, ºC     ,  , Aire: ,15.22,1:29:8,18/8/2022,TomaNro= 28,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=115y69,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4855555,  ,  , Corrida: ,330 seg ,  ,  , Peltier: ,18.65, ºC     , teInsta: ,17.67, ºC     , Disip: ,14.72, ºC     ,  , Aire: ,15.22,1:29:17,18/8/2022,TomaNro= 29,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=114y68,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4880556,  ,  , Corrida: ,340 seg ,  ,  , Peltier: ,18.64, ºC     , teInsta: ,17.67, ºC     , Disip: ,14.82, ºC     ,  , Aire: ,15.22,1:29:27,18/8/2022,TomaNro= 30,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=112y67,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4908334,  ,  , Corrida: ,349 seg ,  ,  , Peltier: ,18.64, ºC     , teInsta: ,17.67, ºC     , Disip: ,14.92, ºC     ,  , Aire: ,15.22,1:29:36,18/8/2022,TomaNro= 31,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=111y66,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4933333,  ,  , Corrida: ,358 seg ,  ,  , Peltier: ,18.63, ºC     , teInsta: ,17.67, ºC     , Disip: ,15.05, ºC     ,  , Aire: ,15.22,1:29:45,18/8/2022,TomaNro= 32,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,BALANCEconPWM=111y66,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4958334,  ,  , Corrida: ,367 seg ,  ,  , Peltier: ,18.65, ºC     , teInsta: ,17.67, ºC     , Disip: ,16.05, ºC     ,  , Aire: ,15.22,1:29:54,18/8/2022,TomaNro= 33,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=111y66,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4983333,  ,  , Corrida: ,377 seg ,  ,  , Peltier: ,18.66, ºC     , teInsta: ,17.66, ºC     , Disip: ,16.16, ºC     ,  , Aire: ,15.22,1:30:4,18/8/2022,TomaNro= 34,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=112y67,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.5011111,  ,  , Corrida: ,386 seg ,  ,  , Peltier: ,18.7, ºC     , teInsta: ,17.66, ºC     , Disip: ,15.95, ºC     ,  , Aire: ,15.22,1:30:13,18/8/2022,TomaNro= 35,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=113y67,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.5036111,  ,  , Corrida: ,396 seg ,  ,  , Peltier: ,18.73, ºC     , teInsta: ,17.66, ºC     , Disip: ,15.74, ºC     ,  , Aire: ,15.22,1:30:23,18/8/2022,TomaNro= 36,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=118y70,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.5063889,  ,  , Corrida: ,405 seg ,  ,  , Peltier: ,18.76, ºC     , teInsta: ,17.66, ºC     , Disip: ,15.54, ºC     ,  , Aire: ,15.22,1:30:32,18/8/2022,TomaNro= 37,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=120y72,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.5088888,  ,  , Corrida: ,414 seg ,  ,  , Peltier: ,18.77, ºC     , teInsta: ,17.66, ºC     , Disip: ,15.35, ºC     ,  , Aire: ,15.22,1:30:41,18/8/2022,TomaNro= 38,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=124y74,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.5113889,  ,  , Corrida: ,424 seg ,  ,  , Peltier: ,18.84, ºC     , teInsta: ,17.66, ºC     , Disip: ,15.17, ºC     ,  , Aire: ,15.22,1:30:51,18/8/2022,TomaNro= 39,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=125y75,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.5141667,  ,  , Corrida: ,433 seg ,  ,  , Peltier: ,18.83, ºC     , teInsta: ,17.65, ºC     , Disip: ,15.01, ºC     ,  , Aire: ,15.22,1:31:0,18/8/2022,TomaNro= 40,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=132y79,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.5166667,  ,  , Corrida: ,443 seg ,  ,  , Peltier: ,18.87, ºC     , teInsta: ,17.65, ºC     , Disip: ,14.83, ºC     ,  , Aire: ,15.22,1:31:10,18/8/2022,TomaNro= 41,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=131y78,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.5194445,  ,  , Corrida: ,452 seg ,  ,  , Peltier: ,18.9, ºC     , teInsta: ,17.65, ºC     , Disip: ,14.68, ºC     ,  , Aire: ,15.22,1:31:19,18/8/2022,TomaNro= 42,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=136y81,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.5219444,  ,  , Corrida: ,462 seg ,  ,  , Peltier: ,18.94, ºC     , teInsta: ,17.65, ºC     , Disip: ,14.52, ºC     ,  , Aire: ,15.22,1:31:29,18/8/2022,TomaNro= 43,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=140y84,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.5247222,  ,  , Corrida: ,471 seg ,  ,  , Peltier: ,18.95, ºC     , teInsta: ,17.65, ºC     , Disip: ,14.35, ºC     ,  , Aire: ,15.22,1:31:38,18/8/2022,TomaNro= 44,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=146y87,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.5272222,  ,  , Corrida: ,481 seg ,  ,  , Peltier: ,18.97, ºC     , teInsta: ,17.64, ºC     , Disip: ,14.18, ºC     ,  , Aire: ,15.22,1:31:48,18/8/2022,TomaNro= 45,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=147y88,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.53,  ,  , Corrida: ,490 seg ,  ,  , Peltier: ,19.01, ºC     , teInsta: ,17.64, ºC     , Disip: ,14.01, ºC     ,  , Aire: ,15.22,1:31:57,18/8/2022,TomaNro= 46,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=149y89,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.5325,  ,  , Corrida: ,499 seg ,  ,  , Peltier: ,19.01, ºC     , teInsta: ,17.64, ºC     , Disip: ,13.85, ºC     ,  , Aire: ,15.22,1:32:6,18/8/2022,TomaNro= 47,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=154y92,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.535,  ,  , Corrida: ,508 seg ,  ,  , Peltier: ,19.01, ºC     , teInsta: ,17.64, ºC     , Disip: ,13.79, ºC     ,  , Aire: ,15.22,1:32:15,18/8/2022,TomaNro= 48,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,BALANCEconPWM=154y92,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.5375,  ,  , Corrida: ,519 seg ,  ,  , Peltier: ,19.01, ºC     , teInsta: ,17.64, ºC     , Disip: ,15.39, ºC     ,  , Aire: ,15.22,1:32:27,18/8/2022,TomaNro= 49,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,BALANCEconPWM=154y92,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.5405555,  ,  , Corrida: ,531 seg ,  ,  , Peltier: ,19.01, ºC     , teInsta: ,17.63, ºC     , Disip: ,17.14, ºC     ,  , Aire: ,15.22,1:32:38,18/8/2022,TomaNro= 50,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
