  ,  , Corrida: ,8 seg ,  ,  , Peltier: ,19.44, ºC     , teInsta: ,0.0, ºC     , Disip: ,0.0, ºC     ,  ,16:9:43,  E: ,HEATINGconPWM=255,   TomaNro= 1,   Modo ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,89 seg ,  ,  , Peltier: ,26.94, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:11:3,  E: ,HEATINGconPWM=255,   TomaNro= 12,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,94 seg ,  ,  , Peltier: ,27.63, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:11:8,  E: ,HEATINGconPWM=255,   TomaNro= 13,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,99 seg ,  ,  , Peltier: ,28.29, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:11:13,  E: ,HEATINGconPWM=250,   TomaNro= 14,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,104 seg ,  ,  , Peltier: ,28.93, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:11:19,  E: ,HEATINGconPWM=165,   TomaNro= 15,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,110 seg ,  ,  , Peltier: ,29.43, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:11:24,  E: ,HEATINGconPWM=165,   TomaNro= 16,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,115 seg ,  ,  , Peltier: ,29.75, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:11:29,  E: ,BALANCEconPWM=165,   TomaNro= 17,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,120 seg ,  ,  , Peltier: ,29.79, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:11:34,  E: ,COOLINGconPWM=165,   TomaNro= 18,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,126 seg ,  ,  , Peltier: ,29.3, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:11:40,  E: ,COOLINGconPWM=165,   TomaNro= 19,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,131 seg ,  ,  , Peltier: ,28.56, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:11:45,  E: ,BALANCEconPWM=165,   TomaNro= 20,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,136 seg ,  ,  , Peltier: ,28.09, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:11:50,  E: ,HEATINGconPWM=165,   TomaNro= 21,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,142 seg ,  ,  , Peltier: ,28.06, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:11:56,  E: ,HEATINGconPWM=197,   TomaNro= 22,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,147 seg ,  ,  , Peltier: ,28.37, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:12:1,  E: ,HEATINGconPWM=197,   TomaNro= 23,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,152 seg ,  ,  , Peltier: ,28.81, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:12:6,  E: ,HEATINGconPWM=165,   TomaNro= 24,   Modo ,2,   EVENTO= 0,
  ,  , Corrida: ,157 seg ,  ,  , Peltier: ,29.18, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:12:11,  E: ,HEATINGconPWM=165,   TomaNro= 25,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,163 seg ,  ,  , Peltier: ,29.31, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:12:17,  E: ,BALANCEconPWM=165,   TomaNro= 26,   Modo ,1,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,168 seg ,  ,  , Peltier: ,29.28, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:12:22,  E: ,BALANCEconPWM=165,   TomaNro= 27,   Modo ,1,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,173 seg ,  ,  , Peltier: ,29.17, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:12:28,  E: ,BALANCEconPWM=165,   TomaNro= 28,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,179 seg ,  ,  , Peltier: ,29.05, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:12:33,  E: ,BALANCEconPWM=165,   TomaNro= 29,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,185 seg ,  ,  , Peltier: ,28.89, ºC     , teInsta: ,29.42, ºC     , Disip: ,21.5, ºC     ,  ,16:12:39,  E: ,HEATINGconPWM=165,   TomaNro= 30,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,191 seg ,  ,  , Peltier: ,28.76, ºC     , teInsta: ,29.42, ºC     , Disip: ,21.5, ºC     ,  ,16:12:45,  E: ,HEATINGconPWM=165,   TomaNro= 31,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,196 seg ,  ,  , Peltier: ,28.9, ºC     , teInsta: ,29.42, ºC     , Disip: ,21.5, ºC     ,  ,16:12:51,  E: ,HEATINGconPWM=165,   TomaNro= 32,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,202 seg ,  ,  , Peltier: ,29.22, ºC     , teInsta: ,29.44, ºC     , Disip: ,21.5, ºC     ,  ,16:12:56,  E: ,HEATINGconPWM=165,   TomaNro= 33,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,207 seg ,  ,  , Peltier: ,29.53, ºC     , teInsta: ,29.44, ºC     , Disip: ,21.5, ºC     ,  ,16:13:1,  E: ,BALANCEconPWM=165,   TomaNro= 34,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,212 seg ,  ,  , Peltier: ,29.6, ºC     , teInsta: ,29.44, ºC     , Disip: ,21.5, ºC     ,  ,16:13:7,  E: ,BALANCEconPWM=165,   TomaNro= 35,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,218 seg ,  ,  , Peltier: ,29.44, ºC     , teInsta: ,29.44, ºC     , Disip: ,21.5, ºC     ,  ,16:13:12,  E: ,BALANCEconPWM=165,   TomaNro= 36,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,223 seg ,  ,  , Peltier: ,29.23, ºC     , teInsta: ,29.44, ºC     , Disip: ,21.5, ºC     ,  ,16:13:17,  E: ,BALANCEconPWM=165,   TomaNro= 37,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,229 seg ,  ,  , Peltier: ,28.98, ºC     , teInsta: ,29.44, ºC     , Disip: ,21.5, ºC     ,  ,16:13:23,  E: ,BALANCEconPWM=165,   TomaNro= 38,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,234 seg ,  ,  , Peltier: ,28.79, ºC     , teInsta: ,29.44, ºC     , Disip: ,21.5, ºC     ,  ,16:13:28,  E: ,HEATINGconPWM=165,   TomaNro= 39,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,239 seg ,  ,  , Peltier: ,28.83, ºC     , teInsta: ,29.45, ºC     , Disip: ,21.5, ºC     ,  ,16:13:33,  E: ,HEATINGconPWM=165,   TomaNro= 40,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,244 seg ,  ,  , Peltier: ,29.09, ºC     , teInsta: ,29.45, ºC     , Disip: ,21.5, ºC     ,  ,16:13:38,  E: ,HEATINGconPWM=165,   TomaNro= 41,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,250 seg ,  ,  , Peltier: ,29.41, ºC     , teInsta: ,29.45, ºC     , Disip: ,21.5, ºC     ,  ,16:13:44,  E: ,HEATINGconPWM=165,   TomaNro= 42,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,255 seg ,  ,  , Peltier: ,29.73, ºC     , teInsta: ,29.45, ºC     , Disip: ,21.5, ºC     ,  ,16:13:49,  E: ,BALANCEconPWM=165,   TomaNro= 43,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,260 seg ,  ,  , Peltier: ,29.79, ºC     , teInsta: ,29.46, ºC     , Disip: ,21.5, ºC     ,  ,16:13:54,  E: ,BALANCEconPWM=165,   TomaNro= 44,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,266 seg ,  ,  , Peltier: ,29.63, ºC     , teInsta: ,29.46, ºC     , Disip: ,21.5, ºC     ,  ,16:14:0,  E: ,BALANCEconPWM=165,   TomaNro= 45,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,271 seg ,  ,  , Peltier: ,29.42, ºC     , teInsta: ,29.46, ºC     , Disip: ,21.5, ºC     ,  ,16:14:5,  E: ,BALANCEconPWM=165,   TomaNro= 46,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,276 seg ,  ,  , Peltier: ,29.18, ºC     , teInsta: ,29.46, ºC     , Disip: ,21.5, ºC     ,  ,16:14:10,  E: ,BALANCEconPWM=165,   TomaNro= 47,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,282 seg ,  ,  , Peltier: ,28.94, ºC     , teInsta: ,29.47, ºC     , Disip: ,21.5, ºC     ,  ,16:14:16,  E: ,BALANCEconPWM=165,   TomaNro= 48,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,287 seg ,  ,  , Peltier: ,28.72, ºC     , teInsta: ,29.47, ºC     , Disip: ,21.5, ºC     ,  ,16:14:21,  E: ,HEATINGconPWM=165,   TomaNro= 49,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,292 seg ,  ,  , Peltier: ,28.77, ºC     , teInsta: ,29.47, ºC     , Disip: ,21.5, ºC     ,  ,16:14:26,  E: ,HEATINGconPWM=165,   TomaNro= 50,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,298 seg ,  ,  , Peltier: ,29.04, ºC     , teInsta: ,29.47, ºC     , Disip: ,21.5, ºC     ,  ,16:14:32,  E: ,HEATINGconPWM=165,   TomaNro= 51,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,303 seg ,  ,  , Peltier: ,29.36, ºC     , teInsta: ,29.47, ºC     , Disip: ,21.5, ºC     ,  ,16:14:37,  E: ,HEATINGconPWM=165,   TomaNro= 52,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,308 seg ,  ,  , Peltier: ,29.68, ºC     , teInsta: ,29.47, ºC     , Disip: ,21.5, ºC     ,  ,16:14:42,  E: ,BALANCEconPWM=165,   TomaNro= 53,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,314 seg ,  ,  , Peltier: ,29.73, ºC     , teInsta: ,29.47, ºC     , Disip: ,21.5, ºC     ,  ,16:14:48,  E: ,BALANCEconPWM=165,   TomaNro= 54,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,319 seg ,  ,  , Peltier: ,29.58, ºC     , teInsta: ,29.47, ºC     , Disip: ,21.5, ºC     ,  ,16:14:53,  E: ,BALANCEconPWM=165,   TomaNro= 55,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,324 seg ,  ,  , Peltier: ,29.37, ºC     , teInsta: ,29.49, ºC     , Disip: ,21.5, ºC     ,  ,16:14:58,  E: ,BALANCEconPWM=165,   TomaNro= 56,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,330 seg ,  ,  , Peltier: ,29.13, ºC     , teInsta: ,29.49, ºC     , Disip: ,21.5, ºC     ,  ,16:15:4,  E: ,BALANCEconPWM=165,   TomaNro= 57,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,335 seg ,  ,  , Peltier: ,28.92, ºC     , teInsta: ,29.49, ºC     , Disip: ,21.5, ºC     ,  ,16:15:9,  E: ,HEATINGconPWM=165,   TomaNro= 58,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,340 seg ,  ,  , Peltier: ,28.96, ºC     , teInsta: ,29.49, ºC     , Disip: ,21.5, ºC     ,  ,16:15:14,  E: ,HEATINGconPWM=165,   TomaNro= 59,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,346 seg ,  ,  , Peltier: ,29.22, ºC     , teInsta: ,29.49, ºC     , Disip: ,21.5, ºC     ,  ,16:15:20,  E: ,HEATINGconPWM=165,   TomaNro= 60,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,351 seg ,  ,  , Peltier: ,29.5, ºC     , teInsta: ,29.49, ºC     , Disip: ,21.5, ºC     ,  ,16:15:25,  E: ,BALANCEconPWM=165,   TomaNro= 61,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,356 seg ,  ,  , Peltier: ,29.56, ºC     , teInsta: ,29.49, ºC     , Disip: ,21.5, ºC     ,  ,16:15:30,  E: ,BALANCEconPWM=165,   TomaNro= 62,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,362 seg ,  ,  , Peltier: ,29.42, ºC     , teInsta: ,29.49, ºC     , Disip: ,21.5, ºC     ,  ,16:15:36,  E: ,BALANCEconPWM=165,   TomaNro= 63,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,367 seg ,  ,  , Peltier: ,29.21, ºC     , teInsta: ,29.5, ºC     , Disip: ,21.5, ºC     ,  ,16:15:41,  E: ,BALANCEconPWM=165,   TomaNro= 64,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,372 seg ,  ,  , Peltier: ,28.96, ºC     , teInsta: ,29.5, ºC     , Disip: ,21.5, ºC     ,  ,16:15:46,  E: ,BALANCEconPWM=165,   TomaNro= 65,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,378 seg ,  ,  , Peltier: ,28.77, ºC     , teInsta: ,29.5, ºC     , Disip: ,21.5, ºC     ,  ,16:15:52,  E: ,HEATINGconPWM=165,   TomaNro= 66,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,383 seg ,  ,  , Peltier: ,28.81, ºC     , teInsta: ,29.51, ºC     , Disip: ,21.5, ºC     ,  ,16:15:57,  E: ,HEATINGconPWM=165,   TomaNro= 67,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,388 seg ,  ,  , Peltier: ,29.06, ºC     , teInsta: ,29.51, ºC     , Disip: ,21.5, ºC     ,  ,16:16:2,  E: ,HEATINGconPWM=165,   TomaNro= 68,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,393 seg ,  ,  , Peltier: ,29.39, ºC     , teInsta: ,29.51, ºC     , Disip: ,21.5, ºC     ,  ,16:16:7,  E: ,HEATINGconPWM=165,   TomaNro= 69,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,399 seg ,  ,  , Peltier: ,29.71, ºC     , teInsta: ,29.51, ºC     , Disip: ,21.5, ºC     ,  ,16:16:13,  E: ,BALANCEconPWM=165,   TomaNro= 70,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,404 seg ,  ,  , Peltier: ,29.78, ºC     , teInsta: ,29.51, ºC     , Disip: ,21.5, ºC     ,  ,16:16:18,  E: ,BALANCEconPWM=165,   TomaNro= 71,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,409 seg ,  ,  , Peltier: ,29.62, ºC     , teInsta: ,29.52, ºC     , Disip: ,21.5, ºC     ,  ,16:16:24,  E: ,BALANCEconPWM=165,   TomaNro= 72,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,415 seg ,  ,  , Peltier: ,29.39, ºC     , teInsta: ,29.52, ºC     , Disip: ,21.5, ºC     ,  ,16:16:29,  E: ,BALANCEconPWM=165,   TomaNro= 73,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,420 seg ,  ,  , Peltier: ,29.15, ºC     , teInsta: ,29.52, ºC     , Disip: ,21.5, ºC     ,  ,16:16:34,  E: ,BALANCEconPWM=165,   TomaNro= 74,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,425 seg ,  ,  , Peltier: ,28.95, ºC     , teInsta: ,29.52, ºC     , Disip: ,21.5, ºC     ,  ,16:16:40,  E: ,HEATINGconPWM=165,   TomaNro= 75,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,431 seg ,  ,  , Peltier: ,28.99, ºC     , teInsta: ,29.52, ºC     , Disip: ,21.5, ºC     ,  ,16:16:45,  E: ,HEATINGconPWM=165,   TomaNro= 76,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,436 seg ,  ,  , Peltier: ,29.23, ºC     , teInsta: ,29.52, ºC     , Disip: ,21.5, ºC     ,  ,16:16:50,  E: ,HEATINGconPWM=165,   TomaNro= 77,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,441 seg ,  ,  , Peltier: ,29.53, ºC     , teInsta: ,29.53, ºC     , Disip: ,21.5, ºC     ,  ,16:16:55,  E: ,BALANCEconPWM=165,   TomaNro= 78,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,447 seg ,  ,  , Peltier: ,29.59, ºC     , teInsta: ,29.53, ºC     , Disip: ,21.5, ºC     ,  ,16:17:1,  E: ,BALANCEconPWM=165,   TomaNro= 79,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,452 seg ,  ,  , Peltier: ,29.43, ºC     , teInsta: ,29.54, ºC     , Disip: ,21.5, ºC     ,  ,16:17:6,  E: ,BALANCEconPWM=165,   TomaNro= 80,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,457 seg ,  ,  , Peltier: ,29.21, ºC     , teInsta: ,29.54, ºC     , Disip: ,21.5, ºC     ,  ,16:17:12,  E: ,BALANCEconPWM=165,   TomaNro= 81,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,463 seg ,  ,  , Peltier: ,28.98, ºC     , teInsta: ,29.54, ºC     , Disip: ,21.5, ºC     ,  ,16:17:17,  E: ,BALANCEconPWM=165,   TomaNro= 82,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,468 seg ,  ,  , Peltier: ,28.78, ºC     , teInsta: ,29.54, ºC     , Disip: ,21.5, ºC     ,  ,16:17:22,  E: ,HEATINGconPWM=165,   TomaNro= 83,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,473 seg ,  ,  , Peltier: ,28.83, ºC     , teInsta: ,29.54, ºC     , Disip: ,21.5, ºC     ,  ,16:17:27,  E: ,HEATINGconPWM=165,   TomaNro= 84,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,479 seg ,  ,  , Peltier: ,29.07, ºC     , teInsta: ,29.54, ºC     , Disip: ,21.5, ºC     ,  ,16:17:33,  E: ,HEATINGconPWM=165,   TomaNro= 85,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,484 seg ,  ,  , Peltier: ,29.41, ºC     , teInsta: ,29.54, ºC     , Disip: ,21.5, ºC     ,  ,16:17:38,  E: ,HEATINGconPWM=165,   TomaNro= 86,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,489 seg ,  ,  , Peltier: ,29.71, ºC     , teInsta: ,29.54, ºC     , Disip: ,21.5, ºC     ,  ,16:17:43,  E: ,BALANCEconPWM=165,   TomaNro= 87,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,495 seg ,  ,  , Peltier: ,29.78, ºC     , teInsta: ,29.55, ºC     , Disip: ,21.5, ºC     ,  ,16:17:49,  E: ,BALANCEconPWM=165,   TomaNro= 88,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,500 seg ,  ,  , Peltier: ,29.62, ºC     , teInsta: ,29.56, ºC     , Disip: ,21.5, ºC     ,  ,16:17:54,  E: ,BALANCEconPWM=165,   TomaNro= 89,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,505 seg ,  ,  , Peltier: ,29.39, ºC     , teInsta: ,29.56, ºC     , Disip: ,21.5, ºC     ,  ,16:17:59,  E: ,BALANCEconPWM=165,   TomaNro= 90,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,511 seg ,  ,  , Peltier: ,29.16, ºC     , teInsta: ,29.56, ºC     , Disip: ,21.5, ºC     ,  ,16:18:5,  E: ,BALANCEconPWM=165,   TomaNro= 91,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,516 seg ,  ,  , Peltier: ,28.95, ºC     , teInsta: ,29.56, ºC     , Disip: ,21.5, ºC     ,  ,16:18:10,  E: ,HEATINGconPWM=165,   TomaNro= 92,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,521 seg ,  ,  , Peltier: ,28.98, ºC     , teInsta: ,29.56, ºC     , Disip: ,21.5, ºC     ,  ,16:18:15,  E: ,HEATINGconPWM=165,   TomaNro= 93,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
  ,  , Corrida: ,527 seg ,  ,  , Peltier: ,29.24, ºC     , teInsta: ,29.56, ºC     , Disip: ,21.5, ºC     ,  ,16:18:21,  E: ,HEATINGconPWM=165,   TomaNro= 94,   Modo ,3,     ,  , T1 Goal: ,14.0,T2 Meta ,32.0,,
